years,Industries,Revenue ,Operating expences ,Raw materials and consumables used ,Payroll expence ,Depreciation and write down of tangible and intangible fixed assets ,Operating profit ,"Financial items, net ",Net profit ,Fixed assets,Current assets,Cash and bank deposits etc,Total assets,Equity,Liabilities,Short-term liabilities,Number of enterprises
2023,Education,12545,13130,1054,5992,621,659,227,669,8621,7436,3408,16057,7352,8705,5240,4892
2023,Human health and social work activities,62220,83524,5799,47010,2454,6007,3045,7161,98387,53554,17678,151941,67136,84805,37250,12152
2023,"Arts, entertainment and recreation",77569,72633,5355,8660,2046,9121,1270,9747,40364,25781,13646,66145,26659,39486,21945,6316
2023,Other service activities,20765,20339,3976,9740,845,1369,207,1242,20711,11656,4497,32368,17767,14601,7808,5869
2023,Unspecified,6768,10470,3168,1251,367,-661,13083,11476,455562,201529,41304,657091,507537,149554,60907,38456
2024,"Agriculture, forestry and fishing",268585,251166,160810,27075,12690,26279,18147,38314,464593,243122,37462,707715,337049,370666,151035,6036
2024,Mining and quarrying,1816265,1215547,796911,59152,180343,624364,126295,288430,2582609,1088220,152487,3670829,1216263,2454566,1056208,1173
2024,Manufacturing,1019152,982508,609261,178588,29257,57296,87516,127287,1304725,704041,99717,2008765,1014318,994447,643244,12877
2024,"Electricity, gas and steam",203840,160549,92430,18329,14305,61170,20638,48084,1162370,235992,60540,1398362,677720,720642,284793,1764
2024,"Water supply, sewerage, waste",46901,46123,25023,8428,2383,1767,179,1539,71638,21624,5321,93262,45600,47662,18216,887
2024,Construction,666332,659886,361203,177195,13442,30291,18814,40998,648910,541622,96570,1190533,477919,712614,373462,45976
2024,Wholesale and retail trade0 repair of motor vehicles and motorcycles,2020930,2000420,1563386,192831,21887,70567,33252,89137,729338,732558,95238,1461896,743448,718448,527858,42807
2024,Transportation and storage,464322,465177,166811,105261,34171,61278,65218,118568,1215447,372181,96484,1587628,827295,760333,295470,9888
2024,Accommodation and food service activities,109646,119509,28902,44285,3761,4884,3230,6648,105986,67682,17497,173669,69356,104313,52226,11321
2024,Information and communication,356196,388060,147704,112788,33005,21600,110186,123002,1372369,361360,83359,1733729,1072288,661441,341264,19606
2024,Real estate activities,121255,162657,31748,23873,35177,87015,67573,138155,3147817,771310,158975,3919128,1951014,1968114,486567,74660
2024,"Professional, scientific and technical activities",318968,313751,91235,133731,11895,15657,9919,20145,617788,339099,94120,956887,581394,375493,226399,44472
2024,Administrative and support service activities,221523,224559,73815,79616,18596,18887,9755,24939,374324,142594,30309,516918,234833,282085,124019,14373
2024,Education,17106,20333,2477,10486,896,956,835,1535,10704,9808,5237,20512,9572,10940,6551,5100
2024,Human health and social work activities,77475,88395,11773,52054,2378,7272,3632,8923,100935,56870,18498,157805,71225,86580,40102,12281
2024,"Arts, entertainment and recreation",82471,77959,8605,9218,2196,10672,1604,11619,45054,30005,16267,75059,30588,44471,24956,6327
2024,Other service activities,20759,20296,4144,9969,885,1386,7501,8519,26022,13563,6853,39585,25294,14291,6655,5842
2024,Unspecified,14735,18474,7610,1921,1201,3480,22777,23549,899074,230657,48161,1129730,876084,253647,77908,43040
